Variables ->,tsm
Comments ->,10Y Infl Exp: Term Structure Model
Class[Size] ->,tseries[60-by-1]
2001Q3,2.6047
2001Q4,2.3889
2002Q1,2.4393
2002Q2,2.408
2002Q3,2.431
2002Q4,2.4568
2003Q1,2.464
2003Q2,2.4895
2003Q3,2.5216
2003Q4,2.4931
2004Q1,2.5669
2004Q2,2.6837
2004Q3,2.7807
2004Q4,2.8584
2005Q1,2.8647
2005Q2,2.8926
2005Q3,3.1175
2005Q4,3.0685
2006Q1,3.0578
2006Q2,3.0886
2006Q3,3.0436
2006Q4,3.0056
2007Q1,2.9414
2007Q2,2.978
2007Q3,2.9572
2007Q4,3.0586
2008Q1,2.9554
2008Q2,3.1539
2008Q3,2.884
2008Q4,2.54
2009Q1,2.5237
2009Q2,2.5978
2009Q3,2.5798
2009Q4,2.5637
2010Q1,2.5442
2010Q2,2.4461
2010Q3,2.3706
2010Q4,2.4297
2011Q1,2.4531
2011Q2,2.4717
2011Q3,2.3917
2011Q4,2.3268
2012Q1,2.3248
2012Q2,2.2568
2012Q3,2.2468
2012Q4,2.2124
2013Q1,2.2067
2013Q2,2.2199
2013Q3,2.217
2013Q4,2.1667
2014Q1,2.1291
2014Q2,2.0431
2014Q3,1.9533
2014Q4,1.8502
2015Q1,1.8019
2015Q2,1.7588
2015Q3,1.7543
2015Q4,1.7568
2016Q1,1.6887
2016Q2,1.7358
